  R12447385 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/maceio/ppi/ppicz
  R12442182 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/maceio/agua_liquida/vil
  R12444600 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/maceio/echotop/waldvogel

### Radar 1375 - Boa Vista
  R13752137 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/boavista/cappi/cappi_3km
  R12757278 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/boavista/chuva/chuva24h
  R12757279 | Chuva 48h | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/boavista/chuva/chuva48h
  R12757280 | Chuva 72h | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/boavista/chuva/chuva72h
  R12757361 | Doppler | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/boavista/ppi/ppivr
  R12752563 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/boavista/agua_liquida/dvil
  R12754637 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/boavista/echotop/echotop20dbz
  R12754636 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/boavista/echotop/echotop35dbz
  R12757581 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/boavista/ppi/ppicz
  R12752564 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/boavista/agua_liquida/vil
